,GeneName,up1.5,up2,up5,up10,dn1.5,dn2,dn5,dn10,all,unchange1.5,unchange2,unchange5,unchange10,HN1.5,HN2,HN5,HN10
8250,Gstp3,49,40,21,14,43,32,9,1,242,150,170,212,227,6,8,12,13
17681,Slc38a3,63,39,16,8,43,26,4,0,242,136,177,222,234,20,13,12,8
8840,Hsd17b6,39,32,13,8,13,12,1,0,242,190,198,228,234,26,20,12,8
16548,Rpl36a-ps1,56,49,39,28,51,38,27,20,242,135,155,176,194,5,11,12,8
8830,Hsd11b2,71,54,20,8,51,27,8,5,242,120,161,214,229,20,27,12,3
5500,Espn,77,54,14,5,41,20,2,2,242,124,168,226,235,36,34,12,3
1090,Amhr2,75,57,17,5,53,31,5,0,242,114,154,220,237,22,26,12,5
17064,Selplg,65,47,22,9,53,36,10,5,242,124,159,210,228,12,11,12,4
9608,Islr2,62,38,14,3,52,38,2,0,242,128,166,226,239,10,0,12,3
19294,Timp1,72,53,20,11,40,27,8,2,242,130,162,214,229,32,26,12,9
818,Adm2,74,58,14,6,41,23,2,1,242,127,161,226,235,33,35,12,5
1065,Alpk2,38,29,17,7,26,17,5,1,242,178,196,220,234,12,12,12,6
7020,Gm17728,43,36,26,17,28,22,14,10,242,171,184,202,215,15,14,12,7
5548,Evpl,76,49,14,5,45,19,2,0,242,121,174,226,237,31,30,12,5
8634,Hhipl2,93,65,19,4,33,21,7,3,242,116,156,216,235,60,44,12,1
10044,Klhl40,73,42,15,7,40,22,3,2,242,129,178,224,233,33,20,12,5
2704,Cck,56,41,20,9,37,23,8,4,242,149,178,214,229,19,18,12,5
6797,Gm11213,16,16,14,2,9,6,2,0,242,217,220,226,240,7,10,12,2
6053,Fibcd1,57,35,13,6,32,12,1,1,242,153,195,228,235,25,23,12,5
4103,Cxcr4,75,55,21,4,38,31,9,4,242,129,156,212,234,37,24,12,0
7898,Gm9999,31,29,23,15,16,15,11,9,242,195,198,208,218,15,14,12,6
6265,Fthl17d,20,19,13,7,14,11,1,1,242,208,212,228,234,6,8,12,6
8386,H2ac10,57,47,39,32,58,49,27,17,242,127,146,176,193,-1,-2,12,15
2728,Ccl8,56,47,32,17,51,41,20,10,242,135,154,190,215,5,6,12,7
8390,H2ac15,69,51,35,22,49,39,23,16,242,124,152,184,204,20,12,12,6
4076,Cuzd1,65,46,13,8,33,10,1,0,242,144,186,228,234,32,36,12,8
252,4930486L24Rik,58,54,32,21,46,41,20,13,242,138,147,190,208,12,13,12,8
20275,Tsc22d3,86,61,19,5,46,29,7,1,242,110,152,216,236,40,32,12,4
17777,Slc6a8,42,31,13,6,64,29,1,1,242,136,182,228,235,-22,2,12,5
