GeneName,RNA-seq-up,RNA-seq-down,RNA-seq-all,miRNA-seq-up,miRNA-seq-down,miRNA-seq-all,ncRNA-seq-up,ncRNA-seq-down,ncRNA-seq-all,unchange_RNA-seq,HN5_RNA-seq,unchange_miRNA-seq,HN5_miRNA-seq,unchange_ncRNA-seq,HN5_ncRNA-seq,PRO-seq-up,PRO-seq-down,PRO-seq-all,unchange_PRO-seq,HN5_PRO-seq,Timelapse-seq-up,Timelapse-seq-down,Timelapse-seq-all,unchange_Timelapse-seq,HN5_Timelapse-seq,Ribo-seq-up,Ribo-seq-down,Ribo-seq-all,unchange_Ribo-seq,HN5_Ribo-seq,all(check),Total_HN-score
Cops5,2,0,169,0,0,9,0,0,2,167,2,9,0,2,0,0,6,34,28,-6,0,0,8,8,0,0,1,20,19,-1,242,-5
Gpat4,2,0,169,1,0,9,0,0,2,167,2,8,1,2,0,0,7,34,27,-7,0,0,8,8,0,0,1,20,19,-1,242,-5
Gpr173,0,0,169,0,0,9,0,0,2,169,0,9,0,2,0,0,5,34,29,-5,0,0,8,8,0,0,0,20,20,0,242,-5
Cpped1,3,0,169,0,0,9,0,0,2,166,3,9,0,2,0,0,7,34,27,-7,0,0,8,8,0,0,1,20,19,-1,242,-5
Cpne1,2,3,169,0,0,9,0,0,2,164,-1,9,0,2,0,2,6,34,26,-4,1,0,8,7,1,0,1,20,19,-1,242,-5
Cpb2,2,1,169,0,0,9,0,0,2,166,1,9,0,2,0,0,6,34,28,-6,0,0,8,8,0,0,0,20,20,0,242,-5
Gpatch4,2,1,169,0,0,9,0,0,2,166,1,9,0,2,0,0,6,34,28,-6,0,0,8,8,0,1,1,20,18,0,242,-5
Cox7a2l,2,0,169,0,0,9,0,0,2,167,2,9,0,2,0,0,6,34,28,-6,0,0,8,8,0,0,1,20,19,-1,242,-5
Sptb,0,2,169,0,0,9,0,0,2,167,-2,9,0,2,0,0,3,34,31,-3,0,0,8,8,0,0,0,20,20,0,242,-5
Gm28305,21,24,169,0,0,9,0,0,2,124,-3,9,0,2,0,0,0,34,34,0,2,0,8,6,2,0,4,20,16,-4,242,-5
Tmem211,1,6,169,0,0,9,0,0,2,162,-5,9,0,2,0,0,0,34,34,0,0,0,8,8,0,0,0,20,20,0,242,-5
Gpd2,2,0,169,0,0,9,0,0,2,167,2,9,0,2,0,0,6,34,28,-6,0,0,8,8,0,0,1,20,19,-1,242,-5
